index,Country Key,Country,Date,Precipitation,Temp Avg,Temp Max,Temp Min
276,7,Azerbaijan,2/22/2020,0.0,50.0,,43.0
277,7,Azerbaijan,2/23/2020,0.0,49.0,56.0,
278,7,Azerbaijan,2/24/2020,0.0,48.0,,
279,7,Azerbaijan,2/25/2020,0.0,49.0,,37.0
280,7,Azerbaijan,2/26/2020,0.01,45.0,,
281,7,Azerbaijan,2/27/2020,3.9,46.0,,
282,7,Azerbaijan,2/28/2020,0.0,49.0,,
283,7,Azerbaijan,2/29/2020,0.0,50.0,57.0,
257,7,Azerbaijan,2/3/2020,0.0,48.0,,
258,7,Azerbaijan,2/4/2020,0.0,54.0,,31.0
259,7,Azerbaijan,2/5/2020,0.0,47.0,,
260,7,Azerbaijan,2/6/2020,0.0,56.0,72.0,
261,7,Azerbaijan,2/7/2020,0.0,69.0,81.0,
262,7,Azerbaijan,2/8/2020,0.0,51.0,71.0,
263,7,Azerbaijan,2/9/2020,0.1,33.0,48.0,
284,7,Azerbaijan,3/1/2020,0.0,45.0,54.0,
285,7,Azerbaijan,3/2/2020,0.11,42.0,47.0,37.0
286,8,Bahrain,1/22/2020,,68.0,,64.0
287,8,Bahrain,1/23/2020,0.36,59.0,,
288,8,Bahrain,1/24/2020,,60.0,,57.0
289,8,Bahrain,1/25/2020,,62.0,,53.0
290,8,Bahrain,1/26/2020,,58.0,,51.0
291,8,Bahrain,1/27/2020,,60.0,,
292,8,Bahrain,1/28/2020,,61.0,,
293,8,Bahrain,1/29/2020,,62.0,,57.0
294,8,Bahrain,1/30/2020,,63.0,,
295,8,Bahrain,1/31/2020,,62.0,,55.0
296,8,Bahrain,2/1/2020,,65.0,,60.0
305,8,Bahrain,2/10/2020,0.04,66.0,,
306,8,Bahrain,2/11/2020,0.0,59.0,,
307,8,Bahrain,2/12/2020,,54.0,,50.0
308,8,Bahrain,2/13/2020,,58.0,,51.0
309,8,Bahrain,2/14/2020,,62.0,,56.0
310,8,Bahrain,2/15/2020,,63.0,,
311,8,Bahrain,2/16/2020,,66.0,,
312,8,Bahrain,2/17/2020,,66.0,,
313,8,Bahrain,2/18/2020,,69.0,,61.0
314,8,Bahrain,2/19/2020,,71.0,,64.0
297,8,Bahrain,2/2/2020,,64.0,,
315,8,Bahrain,2/20/2020,,71.0,,
316,8,Bahrain,2/21/2020,,67.0,,63.0
317,8,Bahrain,2/22/2020,,67.0,,62.0
318,8,Bahrain,2/23/2020,,70.0,,64.0
319,8,Bahrain,2/24/2020,,74.0,,67.0
320,8,Bahrain,2/25/2020,,75.0,,
321,8,Bahrain,2/26/2020,,68.0,,
322,8,Bahrain,2/27/2020,,66.0,,63.0
323,8,Bahrain,2/28/2020,,67.0,,64.0
324,8,Bahrain,2/29/2020,,67.0,,61.0
298,8,Bahrain,2/3/2020,,62.0,,
299,8,Bahrain,2/4/2020,,63.0,,
300,8,Bahrain,2/5/2020,,64.0,,57.0
301,8,Bahrain,2/6/2020,,68.0,,61.0
302,8,Bahrain,2/7/2020,,71.0,,
303,8,Bahrain,2/8/2020,,73.0,,68.0
304,8,Bahrain,2/9/2020,,68.0,,
325,8,Bahrain,3/1/2020,,71.0,,66.0
326,8,Bahrain,3/2/2020,,68.0,,64.0
327,9,Belarus,1/22/2020,0.24,36.0,,
328,9,Belarus,1/23/2020,,29.0,33.0,
329,9,Belarus,1/24/2020,0.0,33.0,35.0,24.0
330,9,Belarus,1/25/2020,,36.0,39.0,
331,9,Belarus,1/26/2020,,34.0,38.0,28.0
332,9,Belarus,1/27/2020,,33.0,,
333,9,Belarus,1/28/2020,,31.0,,30.0
334,9,Belarus,1/29/2020,,33.0,35.0,31.0
335,9,Belarus,1/30/2020,0.71,32.0,33.0,32.0
336,9,Belarus,1/31/2020,0.01,33.0,33.0,32.0
337,9,Belarus,2/1/2020,0.04,34.0,,32.0
346,9,Belarus,2/10/2020,,31.0,36.0,26.0
347,9,Belarus,2/11/2020,0.2,35.0,38.0,
348,9,Belarus,2/12/2020,0.09,33.0,36.0,32.0
349,9,Belarus,2/13/2020,0.04,34.0,37.0,32.0
350,9,Belarus,2/14/2020,,34.0,40.0,32.0
351,9,Belarus,2/15/2020,,33.0,44.0,27.0
352,9,Belarus,2/16/2020,,35.0,40.0,29.0
353,9,Belarus,2/17/2020,,42.0,48.0,34.0
354,9,Belarus,2/18/2020,0.12,40.0,44.0,
355,9,Belarus,2/19/2020,,38.0,44.0,34.0
338,9,Belarus,2/2/2020,0.31,41.0,47.0,35.0
356,9,Belarus,2/20/2020,,38.0,47.0,31.0
357,9,Belarus,2/21/2020,,33.0,40.0,27.0
358,9,Belarus,2/22/2020,,34.0,40.0,27.0
359,9,Belarus,2/23/2020,,39.0,44.0,35.0
360,9,Belarus,2/24/2020,,33.0,41.0,29.0
361,9,Belarus,2/25/2020,,33.0,42.0,24.0
362,9,Belarus,2/26/2020,0.12,39.0,45.0,34.0
363,9,Belarus,2/27/2020,,38.0,42.0,
364,9,Belarus,2/28/2020,,32.0,38.0,27.0
365,9,Belarus,2/29/2020,,33.0,38.0,29.0
339,9,Belarus,2/3/2020,0.02,35.0,38.0,33.0
340,9,Belarus,2/4/2020,,32.0,36.0,
341,9,Belarus,2/5/2020,,24.0,30.0,
342,9,Belarus,2/6/2020,,24.0,36.0,18.0
343,9,Belarus,2/7/2020,,20.0,24.0,18.0
344,9,Belarus,2/8/2020,,22.0,,15.0
345,9,Belarus,2/9/2020,0.0,30.0,32.0,26.0
366,9,Belarus,3/1/2020,,37.0,44.0,28.0
367,9,Belarus,3/2/2020,0.2,40.0,43.0,37.0
368,10,Belgium,1/22/2020,,34.0,39.0,28.0
369,10,Belgium,1/23/2020,,36.0,,
370,10,Belgium,1/24/2020,,33.0,,
371,10,Belgium,1/25/2020,,35.0,38.0,31.0
372,10,Belgium,1/26/2020,,44.0,52.0,33.0
373,10,Belgium,1/27/2020,0.24,47.0,48.0,45.0
374,10,Belgium,1/28/2020,0.32,41.0,44.0,
375,10,Belgium,1/29/2020,,41.0,46.0,36.0
376,10,Belgium,1/30/2020,,46.0,,40.0
377,10,Belgium,1/31/2020,,52.0,,
378,10,Belgium,2/1/2020,0.51,51.0,,
387,10,Belgium,2/10/2020,0.2,46.0,,
388,10,Belgium,2/11/2020,0.08,42.0,46.0,38.0
389,10,Belgium,2/12/2020,,41.0,46.0,
390,10,Belgium,2/13/2020,0.24,43.0,49.0,39.0
